bin_lo,freq_lo_mhz,mean,std,max,median,top3(bin:val)
116391936,2395.605469,1.53567e+11,6.1491e+10,5.72559e+13,1.58322e+11,5767168:5.726e+13;21495808:5.71e+13;28835840:5.694e+13
117440512,2392.675781,1.4755e+11,6.10029e+10,5.71937e+13,1.52138e+11,2621440:5.719e+13;33030144:5.712e+13;12058624:5.708e+13
118489088,2389.746094,1.46484e+11,6.09147e+10,5.71668e+13,1.51045e+11,9961472:5.717e+13;3670016:5.716e+13;15204352:5.692e+13
119537664,2386.816406,1.47986e+11,6.10933e+10,5.7299e+13,1.52606e+11,28835840:5.73e+13;3670016:5.702e+13;21495808:5.688e+13
120586240,2383.886719,1.47161e+11,6.11626e+10,5.74219e+13,1.51749e+11,20447232:5.742e+13;22544384:5.719e+13;33030144:5.714e+13
121634816,2380.957031,1.41067e+11,6.0595e+10,5.74584e+13,1.4541e+11,28835840:5.746e+13;27787264:5.702e+13;14155776:5.696e+13
122683392,2378.027344,1.32796e+11,5.98386e+10,5.72649e+13,1.36859e+11,26738688:5.726e+13;30932992:5.705e+13;33030144:5.703e+13
123731968,2375.097656,1.27865e+11,5.9549e+10,5.71256e+13,1.31795e+11,16252928:5.713e+13;4718592:5.704e+13;27787264:5.693e+13
124780544,2372.167969,1.28712e+11,5.96956e+10,5.72491e+13,1.32703e+11,5767168:5.725e+13;9961472:5.718e+13;20447232:5.714e+13
125829120,2369.238281,1.32934e+11,5.99647e+10,5.71216e+13,1.37053e+11,22544384:5.712e+13;6815744:5.691e+13;12058624:5.691e+13
126877696,2366.308594,1.36225e+11,6.03169e+10,5.71141e+13,1.40504e+11,1572864:5.711e+13;4718592:5.694e+13;7864320:5.682e+13
127926272,2363.378906,1.2742e+11,6.01246e+10,5.71889e+13,1.30369e+11,21495808:5.719e+13;7864320:5.716e+13;22544384:5.707e+13
128974848,2360.449219,1.27551e+11,5.99582e+10,5.73084e+13,1.31836e+11,524288:5.731e+13;22544384:5.714e+13;26738688:5.705e+13
130023424,2357.519531,9.82781e+10,5.97387e+10,5.71756e+13,1.00781e+11,11010048:5.718e+13;12058624:5.717e+13;25690112:5.713e+13
131072000,2354.589844,3.76264e+10,6.53122e+10,6.55635e+13,3.61745e+10,20447232:6.556e+13;17301504:6.544e+13;19398656:6.541e+13
132120576,2351.660156,5.36337e+09,5.51655e+10,5.65537e+13,4.37214e+09,26738688:5.655e+13;20447232:5.653e+13;33030144:5.652e+13
133169152,2348.730469,8.75789e+08,5.50202e+10,5.64093e+13,7.92455e+08,28835840:5.641e+13;4718592:5.64e+13;21495808:5.639e+13
134217728,2345.800781,7.56728e+08,5.50299e+10,5.63948e+13,6.81921e+08,14155776:5.639e+13;22544384:5.639e+13;31981568:5.639e+13
135266304,2342.871094,5.94507e+08,5.50348e+10,5.64177e+13,5.56623e+08,18350080:5.642e+13;30932992:5.641e+13;26738688:5.641e+13
136314880,2339.941406,5.7079e+08,5.50304e+10,5.63971e+13,5.32567e+08,14155776:5.64e+13;30932992:5.639e+13;15204352:5.639e+13
137363456,2337.011719,5.63999e+08,5.50338e+10,5.64152e+13,5.25572e+08,15204352:5.642e+13;22544384:5.64e+13;9961472:5.64e+13
138412032,2334.082031,5.72358e+08,5.50343e+10,5.64339e+13,5.34212e+08,2621440:5.643e+13;12058624:5.641e+13;8912896:5.639e+13
139460608,2331.152344,5.85712e+08,5.5095e+10,5.64873e+13,5.48204e+08,12058624:5.649e+13;30932992:5.648e+13;23592960:5.645e+13
140509184,2328.222656,5.76077e+08,5.50593e+10,5.64355e+13,5.38086e+08,9961472:5.644e+13;24641536:5.643e+13;3670016:5.643e+13
141557760,2325.292969,5.79932e+08,5.50455e+10,5.64199e+13,5.38617e+08,25690112:5.642e+13;16252928:5.641e+13;18350080:5.641e+13
142606336,2322.363281,5.61378e+08,5.50368e+10,5.64138e+13,5.14534e+08,12058624:5.641e+13;14155776:5.641e+13;16252928:5.641e+13
143654912,2319.433594,2.25807e+09,5.51279e+10,5.65113e+13,1.58062e+09,28835840:5.651e+13;2621440:5.651e+13;8912896:5.651e+13
144703488,2316.503906,4.37009e+10,6.00122e+10,5.69459e+13,4.09997e+10,19398656:5.695e+13;27787264:5.668e+13;22544384:5.663e+13
145752064,2313.574219,9.90389e+10,5.83702e+10,5.75097e+13,1.02514e+11,16252928:5.751e+13;28835840:5.708e+13;7864320:5.691e+13
146800640,2310.644531,1.04092e+11,5.83043e+10,5.7293e+13,1.074e+11,19398656:5.729e+13;11010048:5.719e+13;24641536:5.7e+13
147849216,2307.714844,1.03175e+11,7.70701e+10,7.73608e+13,1.06426e+11,17301504:7.736e+13;16252928:7.727e+13;27787264:7.725e+13
148897792,2304.785156,1.00084e+11,5.81498e+10,5.75168e+13,1.03227e+11,24641536:5.752e+13;18350080:5.74e+13;14155776:5.728e+13
149946368,2301.855469,1.00164e+11,5.79893e+10,5.73222e+13,1.03305e+11,7864320:5.732e+13;20447232:5.728e+13;1572864:5.706e+13
150994944,2298.925781,1.04948e+11,5.82899e+10,5.70509e+13,1.08243e+11,19398656:5.705e+13;11010048:5.695e+13;31981568:5.695e+13
152043520,2295.996094,1.11691e+11,5.87296e+10,5.74288e+13,1.15257e+11,19398656:5.743e+13;33030144:5.742e+13;18350080:5.739e+13
153092096,2293.066406,1.14617e+11,5.9007e+10,5.7373e+13,1.18328e+11,14155776:5.737e+13;17301504:5.734e+13;18350080:5.733e+13
154140672,2290.136719,1.11085e+11,5.8656e+10,5.75363e+13,1.14626e+11,19398656:5.754e+13;524288:5.739e+13;14155776:5.71e+13
155189248,2287.207031,1.05558e+11,5.8381e+10,5.8063e+13,1.08891e+11,31981568:5.806e+13;16252928:5.724e+13;18350080:5.7e+13
156237824,2284.277344,1.02726e+11,5.82976e+10,5.73738e+13,1.05967e+11,14155776:5.737e+13;30932992:5.733e+13;15204352:5.71e+13
157286400,2281.347656,1.0386e+11,5.82552e+10,5.73596e+13,1.07144e+11,29884416:5.736e+13;5767168:5.726e+13;524288:5.72e+13
158334976,2278.417969,1.0668e+11,5.84787e+10,5.72827e+13,1.10103e+11,29884416:5.728e+13;20447232:5.709e+13;31981568:5.704e+13
159383552,2275.488281,1.06252e+11,5.84052e+10,5.76894e+13,1.09677e+11,23592960:5.769e+13;5767168:5.709e+13;7864320:5.709e+13
160432128,2272.558594,9.99546e+10,5.80596e+10,5.73729e+13,1.03089e+11,4718592:5.737e+13;6815744:5.716e+13;17301504:5.716e+13
161480704,2269.628906,9.1587e+10,5.76208e+10,5.77927e+13,9.44295e+10,21495808:5.779e+13;9961472:5.741e+13;2621440:5.718e+13
162529280,2266.699219,8.63261e+10,5.73496e+10,5.73913e+13,8.90276e+10,14155776:5.739e+13;28835840:5.717e+13;17301504:5.713e+13
163577856,2263.769531,8.54638e+10,5.73152e+10,5.72199e+13,8.81521e+10,21495808:5.722e+13;1572864:5.714e+13;19398656:5.712e+13
164626432,2260.839844,8.74132e+10,9.1503e+10,9.31251e+13,9.01531e+10,5767168:9.313e+13;6815744:9.291e+13;28835840:9.287e+13
165675008,2257.910156,8.88302e+10,5.75712e+10,5.74904e+13,9.16758e+10,4718592:5.749e+13;524288:5.743e+13;12058624:5.725e+13
166723584,2254.980469,8.69117e+10,5.74663e+10,5.7205e+13,8.96739e+10,26738688:5.72e+13;28835840:5.707e+13;22544384:5.705e+13
167772160,2252.050781,8.32037e+10,5.71426e+10,5.74368e+13,8.5815e+10,17301504:5.744e+13;16252928:5.695e+13;2621440:5.691e+13
168820736,2249.121094,8.15819e+10,5.71457e+10,5.73388e+13,8.41417e+10,524288:5.734e+13;33030144:5.734e+13;28835840:5.721e+13
169869312,2246.191406,8.36949e+10,5.80404e+10,5.74938e+13,8.62231e+10,25690112:5.749e+13;11010048:5.722e+13;14155776:5.72e+13
170917888,2243.261719,8.80967e+10,5.7839e+10,5.72514e+13,9.08681e+10,17301504:5.725e+13;5767168:5.724e+13;21495808:5.717e+13
171966464,2240.332031,9.24522e+10,5.77103e+10,5.739e+13,9.54168e+10,24641536:5.739e+13;20447232:5.719e+13;13107200:5.715e+13
173015040,2237.402344,9.2938e+10,5.78986e+10,5.7757e+13,9.59145e+10,9961472:5.776e+13;524288:5.735e+13;29884416:5.727e+13
174063616,2234.472656,9.01044e+10,5.75392e+10,5.72432e+13,9.29518e+10,28835840:5.724e+13;15204352:5.706e+13;13107200:5.698e+13
175112192,2231.542969,8.82074e+10,5.74848e+10,5.75404e+13,9.09832e+10,12058624:5.754e+13;29884416:5.737e+13;21495808:5.712e+13
176160768,2228.613281,8.95599e+10,5.75207e+10,5.74605e+13,9.23844e+10,24641536:5.746e+13;14155776:5.737e+13;29884416:5.721e+13
177209344,2225.683594,9.29098e+10,5.7752e+10,5.7459e+13,9.58797e+10,7864320:5.746e+13;2621440:5.724e+13;9961472:5.707e+13
178257920,2222.753906,9.49307e+10,5.7909e+10,5.7569e+13,9.79887e+10,26738688:5.757e+13;9961472:5.722e+13;31981568:5.722e+13
